experiment,dgp,dependence,sigma,rep,true_order,khat_bspline,khat_poly,rem1_p_bspline,rem2_p_bspline
bspline_basis,o3,indep,0.5,12,3,3,3,5.282994042232758e-10,1.203026234186666e-09
bspline_basis,o3,indep,0.5,13,3,3,3,1.6653345369377348e-15,1.1312073500135966e-10
bspline_basis,o3,indep,0.5,14,3,3,3,1.1102230246251565e-16,1.4363177314180575e-11
bspline_basis,o3,indep,0.5,15,3,3,3,0.0,1.3772576301640527e-08
bspline_basis,o3,indep,0.5,16,3,3,3,1.9984014443252818e-15,4.914105649067579e-07
bspline_basis,o3,indep,0.5,17,3,3,3,1.1102230246251565e-15,1.2917728442474186e-08
bspline_basis,o3,indep,0.5,18,3,3,3,1.5432100042289676e-14,1.1410539180189971e-11
bspline_basis,o3,indep,0.5,19,3,3,3,0.0,5.287644877505215e-09
bspline_basis,o3,pair0.9,0.0,0,3,3,3,1.3877787807814457e-14,7.73752808491679e-08
bspline_basis,o3,pair0.9,0.0,1,3,3,3,6.210587599753126e-13,1.267669788029835e-07
bspline_basis,o3,pair0.9,0.0,2,3,3,3,1.7763568394002505e-14,1.7429414733705073e-07
bspline_basis,o3,pair0.9,0.0,3,3,3,3,4.514721929638199e-12,9.254702959538008e-08
bspline_basis,o3,pair0.9,0.0,4,3,3,3,2.8199664825478976e-14,9.355952601541873e-08
bspline_basis,o3,pair0.9,0.0,5,3,3,3,1.2275735983280356e-12,8.543792606729994e-08
bspline_basis,o3,pair0.9,0.0,6,3,3,3,1.887379141862766e-15,1.1084166584574007e-08
bspline_basis,o3,pair0.9,0.0,7,3,3,3,1.6142642778049776e-13,2.926978470707553e-08
bspline_basis,o3,pair0.9,0.0,8,3,3,3,3.74067443686954e-12,2.6386124729604887e-08
bspline_basis,o3,pair0.9,0.0,9,3,3,3,1.8333001783332747e-11,4.51772093224001e-06
bspline_basis,o3,pair0.9,0.0,10,3,3,3,3.530509218307998e-14,2.9105163631415465e-06
bspline_basis,o3,pair0.9,0.0,11,3,3,3,2.220446049250313e-16,1.3734524628716827e-10
bspline_basis,o3,pair0.9,0.0,12,3,3,3,2.55351295663786e-15,5.29701261187121e-07
bspline_basis,o3,pair0.9,0.0,13,3,3,3,3.6637359812630166e-14,1.6577111461302252e-08
bspline_basis,o3,pair0.9,0.0,14,3,3,3,1.9095836023552692e-14,3.7144595721461116e-07
bspline_basis,o3,pair0.9,0.0,15,3,3,3,1.9240165016753963e-13,1.2866841203607038e-07
bspline_basis,o3,pair0.9,0.0,16,3,3,3,8.770761894538737e-15,4.2294110991214495e-08
bspline_basis,o3,pair0.9,0.0,17,3,3,3,4.579669976578771e-13,2.6723760537805674e-07
bspline_basis,o3,pair0.9,0.0,18,3,3,3,2.2004620348070603e-13,7.641506527544806e-08
bspline_basis,o3,pair0.9,0.0,19,3,3,3,3.219646771412954e-15,4.584997714829342e-09
bspline_basis,o3,pair0.9,0.5,0,3,2,3,2.9976021664879227e-15,0.273864222040205
bspline_basis,o3,pair0.9,0.5,1,3,3,3,8.770761894538737e-15,9.75093768396107e-07
bspline_basis,o3,pair0.9,0.5,2,3,3,3,1.0436096431476471e-14,2.5607956798623377e-05
bspline_basis,o3,pair0.9,0.5,3,3,2,3,2.9765079290200447e-13,0.10819751088521867
bspline_basis,o3,pair0.9,0.5,4,3,3,3,7.349676423018536e-13,4.957193577848074e-07
bspline_basis,o3,pair0.9,0.5,5,3,2,3,2.7077229347582943e-12,0.6762008026561493
bspline_basis,o3,pair0.9,0.5,6,3,3,3,3.0531133177191805e-14,0.037175797948540756
bspline_basis,o3,pair0.9,0.5,7,3,2,3,3.375077994860476e-14,0.188327724498343
bspline_basis,o3,pair0.9,0.5,8,3,2,3,5.706546346573305e-14,0.16902615712277447
bspline_basis,o3,pair0.9,0.5,9,3,3,3,8.881784197001252e-16,1.2105400505446617e-05
bspline_basis,o3,pair0.9,0.5,10,3,2,3,1.677652461395951e-10,0.6384032706888912
bspline_basis,o3,pair0.9,0.5,11,3,3,3,4.285460875053104e-13,0.035227650580267444
bspline_basis,o3,pair0.9,0.5,12,3,2,3,7.771561172376096e-16,0.3201600256825998
bspline_basis,o3,pair0.9,0.5,13,3,2,3,5.861977570020827e-14,0.3223397449156171
bspline_basis,o3,pair0.9,0.5,14,3,3,3,3.4416913763379853e-15,0.00017521051787905417
bspline_basis,o3,pair0.9,0.5,15,3,3,3,8.659739592076221e-15,2.604334589206836e-06
bspline_basis,o3,pair0.9,0.5,16,3,3,3,7.771561172376096e-15,0.009564056830754009
bspline_basis,o3,pair0.9,0.5,17,3,3,3,1.7108536809473662e-13,1.8269684245453277e-06
bspline_basis,o3,pair0.9,0.5,18,3,2,3,3.1624702856447584e-12,0.5917498381326581
bspline_basis,o3,pair0.9,0.5,19,3,3,3,2.731148640577885e-14,2.2685647327991276e-05
bspline_basis,o3mix,indep,0.0,0,3,3,3,0.0,5.946912962073725e-10
bspline_basis,o3mix,indep,0.0,1,3,3,3,0.0,1.7508992034009907e-09
bspline_basis,o3mix,indep,0.0,2,3,3,3,0.0,6.974297306339139e-08
bspline_basis,o3mix,indep,0.0,3,3,3,3,0.0,7.109255882875587e-07
bspline_basis,o3mix,indep,0.0,4,3,3,3,0.0,7.366329768387914e-12
